Groupwise Bifurcation of Institutions for Approval Process 2025-26,,,,,,,
39,1-43863071997,GOVERNMENT POLYTECHNIC PATHARIYA,Central,Chhattisgarh,BILASPUR,PATHARIYA,Group-1
40,1-1596880521,GOVERNMENT POLYTECHNIC RAMANUJGANJ,Central,Chhattisgarh,SURGUJA,RAMANUJGANJ,Group-1
41,1-1605574701,GOVERNMENT POLYTECHNIC SUKMA,Central,Chhattisgarh,BASTAR,SUKMA,Group-1
42,1-44031359693,"GOVERNMENT POLYTECHNIC
THANKHAMARIYA",Central,Chhattisgarh,DURG,THANKHAMARIYA,Group-1
43,1-448000683,GOVRNMENT POLYTECHNIC AMBIKAPUR,Central,Chhattisgarh,SURGUJA,AMBIKAPUR,Group-1
44,1-448565391,GOVT POLYTECHNIC KABIRDHAM,Central,Chhattisgarh,KAWARDHA,KAWARDHA,Group-1
45,1-2853239131,"GOVT. CO. ED. POLYTECHNIC, KONDAGAON",Central,Chhattisgarh,BASTAR,KONDAGAON,Group-1
46,1-2183682561,GOVT. CO-ED POLYTECHNIC RAIPUR,Central,Chhattisgarh,RAIPUR,RAIPUR,Group-1
47,1-2185853371,"GOVT. CO-ED POLYTECHNIC,
BASTAR(JAGDALPUR)",Central,Chhattisgarh,BASTAR,JAGDALPUR,Group-1
48,1-412372841,GOVT. ENGINEERING COLLEGE RAIPUR,Central,Chhattisgarh,RAIPUR,RAIPUR,Group-1
49,1-435383081,"GOVT. GIRL'S POLYTECHNIC, RAIPUR",Central,Chhattisgarh,RAIPUR,RAIPUR,Group-1
50,1-44095858913,GOVT. POLYTECHNIC BAGICHA,Central,Chhattisgarh,JASHPUR,KURUMKELA,Group-1
51,1-2183488261,GOVT. POLYTECHNIC BHATAPARA (C.G.),Central,Chhattisgarh,RAIPUR,BHATAPARA,Group-1
52,1-464457241,GOVT. POLYTECHNIC BIJAPUR(C.G.),Central,Chhattisgarh,BASTAR,BIJAPUR,Group-1
53,1-444998461,GOVT. POLYTECHNIC KANKER,Central,Chhattisgarh,KANKER,KANKER,Group-1
54,1-451648951,GOVT. POLYTECHNIC KHAIRAGARH,Central,Chhattisgarh,RAJNANDGAON,KHAIRAGARH,Group-1
Groupwise Bifurcation of Institutions for Approval Process 2025-26,,,,,,,
Sr.No,"AICTE
Permanent Id",Institute Name,Region,State,District,City,User Group
55,1-435753361,GOVT.GIRLS POLYTECHNIC RAJNANDGAON,Central,Chhattisgarh,RAJNANDGAON,RAJNANDGAON,Group-1
56,1-441620561,GOVT.POLYTECHNIC JASHPUR,Central,Chhattisgarh,JASHPUR,JASHPUR,Group-1
57,1-453965471,GOVT.POLYTECHNIC KORBA,Central,Chhattisgarh,KORBA,KORBA,Group-1
58,1-459156251,GOVT.POLYTECHNIC KORIYA,Central,Chhattisgarh,KORIYA,BAIKUNTHPUR,Group-1
59,1-474398581,IBT COLLEGE OF DIPLOMA ENGINEERING,Central,Chhattisgarh,DURG,BHILAI,Group-1
60,1-475274703,"INDIAN INSTITUTE OF HANDLOOM
TECHNOLOGY",Central,Chhattisgarh,JANJGIR-CHAMPA,CHAMPA,Group-1
61,1-32037656,INSITUTE OF TECHNOLOGY KORBA,Central,Chhattisgarh,KORBA,KORBA,Group-1
62,1-23687721,INSTITUTE OF MANAGEMENT,Central,Chhattisgarh,RAIPUR,RAIPUR,Group-1
63,1-9137776,J.K. INSTITUTE OF ENGINEERING,Central,Chhattisgarh,BILASPUR,BILASPUR,Group-1
64,1-31327876,"JHADA SIRHA, GOVERNMENT ENGINEERING
COLLEGE, JAGDALPUR, BASTAR, CHHATTISGARH",Central,Chhattisgarh,BASTAR,JAGDALPUR,Group-1
65,1-3406183661,KALINGA INSTITUTE OF TECHNOLOGY,Central,Chhattisgarh,RAIPUR,NAYA RAIPUR,Group-1
66,1-2198092461,"KALINGA UNIVERSITY- FACULTY OF
TECHNOLOGY",Central,Chhattisgarh,RAIPUR,NEW RAIPUR,Group-1
67,1-435786341,"KIRODIMAL GOVERNMENT POLYTECHNIC
RAIGARH",Central,Chhattisgarh,RAIGARH,RAIGARH,Group-1
68,1-43855684,KIRODIMAL INSTITUTE OF TECHNOLOGY,Central,Chhattisgarh,RAIGARH,RAIGARH,Group-1
69,1-400582941,KRISHNA ENGINEERING COLLEGE,Central,Chhattisgarh,DURG,BHILAI,Group-1
70,1-4828734,"KRISHNA'S VIKASH INSTITUTE OF TECHNOLOGY,
RAIPUR",Central,Chhattisgarh,RAIPUR,RAIPUR,Group-1
71,1-9453413,LAKHMI CHAND INSTITUTE OF TECHNOLOGY,Central,Chhattisgarh,BILASPUR,BILASPUR,Group-1
72,1-2190900851,"LATE KARUNA SHUKLA, GOVERNMENT
POLYTECHNIC COLLEGE, BALODABAZAR",Central,Chhattisgarh,RAIPUR,BALODABAZAR,Group-1
73,1-450942693,MANSA POLYTECHNIC COLLEGE,Central,Chhattisgarh,DURG,BHILAI,Group-1
74,1-7161804419,MSME TECHNOLOGY CENTRE DURG,Central,Chhattisgarh,DURG,DURG,Group-1
75,1-477614251,NMDC DAV POLYTECHNIC,Central,Chhattisgarh,DANTEWADA,DANTEWADA,Group-1
76,1-1630541,"PRISM SCHOOL OF BUSINESS &
ENTREPRENEURSHIP",Central,Chhattisgarh,DURG,BHILAI,Group-1
77,1-8557671,"PROFESSIONAL INSTITUTE OF ENGINEERING &
TECHNOLOGY",Central,Chhattisgarh,RAIPUR,RAIPUR,Group-1
78,1-8948771,RAIPUR INSTITUTE OF TECHNOLOGY,Central,Chhattisgarh,RAIPUR,RAIPUR,Group-1
79,1-441720283,"RAM KRISHNA RATHORE GOVERNMENT
POLYTECHNIC JANJGIR-CHAMPA, VILLAGE - PENDRI.  DISTT - JANJGIR-CHAMPA",Central,Chhattisgarh,JANJGIR-CHAMPA,JANJGIR,Group-1
80,1-10961001,RITEE BUSINESS SCHOOL (RIBS) RAIPUR,Central,Chhattisgarh,RAIPUR,RAIPUR,Group-1
81,1-3419111,"RSR RUNGTA COLLEGE OF ENGINEERING &
TECHNOLOGY",Central,Chhattisgarh,DURG,BHILAI,Group-1
82,1-9004017,"RUNGTA COLLEGE OF ENGINEERING &
TECHNOLOGY",Central,Chhattisgarh,DURG,BHILAI,Group-1
83,1-28750737,"S.O. S.  IN COMPUTER SCIENCE, PT.
RAVISHANKAR SHUKLA UNIVERSITY, RAIPUR",Central,Chhattisgarh,RAIPUR,RAIPUR,Group-1
84,1-2103719071,S.O.S IN ELECTRONICS AND PHOTONICS,Central,Chhattisgarh,RAIPUR,RAIPUR,Group-1
85,1-14610587,"SCHOOL OF ENGINEERING AND INFORMATION
TECHNOLOGY",Central,Chhattisgarh,RAIPUR,RAIPUR,Group-1
86,1-43374816303,"SCHOOL OF ENGINEERING AND TECHNOLOGY
ISBM UNIVERSITY",Central,Chhattisgarh,RAIPUR,NAWAPARA (KOSMI),Group-1
87,1-4302940051,"SCHOOL OF ENGINEERING OP JINDAL
UNIVERSITY",Central,Chhattisgarh,RAIGARH,PUNJIPATHRA,Group-1
88,1-20043220,"SCHOOL OF STUDIES OF ENGINEERING AND TECHNOLOGY, GURU GHASIDAS
VISHWAVIDYALAYA, BILASPUR",Central,Chhattisgarh,BILASPUR,KONI,Group-1
89,1-5575241,"SHIVALIK INSTITUTE OF MANAGEMENT
EDUCATION & RESEARCH",Central,Chhattisgarh,DURG,DURG,Group-1
90,1-1359580791,SHRI RAWATPURA SARKAR POLYTECHNIC,Central,Chhattisgarh,RAIPUR,DHANELI,Group-1
91,1-11849261,SHRI SHANKARACHARYA INSTITUTE OF PROFESSIONAL MANAGEMENT & TECHNOLOGY,Central,Chhattisgarh,RAIPUR,RAIPUR,Group-1
92,1-445778311,SHRI SHANKARACHARYA TECHNICAL CAMPUS,Central,Chhattisgarh,DURG,BHILAI,Group-1
93,1-9634563141,TAGORE COLLEGE OF MANAGEMENT,Central,Chhattisgarh,BILASPUR,BILASPUR,Group-1
94,1-447997741,"THAKUR BALRAM SINGH GOVERNMENT
POLYTECHNIC TAKHATPUR",Central,Chhattisgarh,BILASPUR,TAKHATPUR,Group-1
95,1-429623561,"UDAY PRASAD UDAY GOVERNMENT
POLYTECHNIC, DURG",Central,Chhattisgarh,DURG,DURG,Group-1
96,1-43364768257,"UNIVERSITY TEACHING DEPARTMENT CSVTU
BHILAI",Central,Chhattisgarh,DURG,BHILAI,Group-1
97,1-2878153061,"VISHWAVIDYALAYA ENGINEERING COLLEGE,
AMBIKAPUR (A CONSTITUENT COLLEGE OF CSVTU, BHILAI)",Central,Chhattisgarh,SURGUJA,LAKHANPUR,Group-1
98,1-8593851,"YUGANTAR INSTITUTE OF TECHNOLOGY AND
MANAGEMENT",Central,Chhattisgarh,RAJNANDGAON,RAJNANDGAON,Group-1
99,1-5139051,"""SHRI SATSANGI SAKETDHAM 'RAM ASHRAM'
GROUP OF INSTITUTIONS""",Central,Gujarat,MEHSANA,VILLAGE VADASMA,Group-1
100,1-444204141,A. V. PAREKH TECHNICAL INSTITUTE,Central,Gujarat,RAJKOT,RAJKOT,Group-1
101,1-404292091,A. Y. DADABHAI TECHNICAL INSTITUTE,Central,Gujarat,SURAT,KOSAMBA (R.S.),Group-1
Groupwise Bifurcation of Institutions for Approval Process 2025-26,,,,,,,
Sr.No,"AICTE
Permanent Id",Institute Name,Region,State,District,City,User Group
102,1-7126777,A.D.PATEL INSTITUTE OF TECHNOLOGY,Central,Gujarat,ANAND,ANAND,Group-1
103,1-3759693776,"AAERT AND THE SSB FACULTY OF ARCHITECTURE SARVAJANIK COLLEGE OF
ENGINEERING AN TECHNOLOGY SURAT",Central,Gujarat,SURAT,SURAT,Group-1
104,1-2183698291,"AARYA-VEER COLLEGE OF ENGINEERING &
TECHNOLOGY,RAJKOT",Central,Gujarat,RAJKOT,RAJKOT,Group-1
105,1-4231084,"ACHARYA MOTIBHAI PATEL INSTITUTE OF
COMPUTER STUDIES",Central,Gujarat,MEHSANA,KHERVA,Group-1
106,1-2188769051,"ADANI INSTITUTE OF DIGITAL TECHNOLOGY
MANAGEMENT",Central,Gujarat,GANDHINAGAR,ADALAJ,Group-1
107,1-2468605634,"ADANI INSTITUTE OF INFRASTRUCTURE
ENGINEERING",Central,Gujarat,AHMEDABAD,AHMEDABAD,Group-1
